County,FIPS.code,Population,AreaSQMILES,x_lat,y_long,,,,,,
Lee ,287,17183,629 ,-96.96568735,30.31065065,,,,,,
Leon ,289,17243,"1,072 ",-95.99554292,31.29655719,,,,,,
Liberty ,291,83658,"1,160 ",-94.8120925,30.15153187,,,,,,
Limestone ,293,23527,909 ,-96.58056718,31.54541898,,,,,,
Lipscomb ,295,3378,932 ,-100.27317,36.27778432,,,,,,
Live Oak ,297,12174,"1,036 ",-98.12474493,28.3514375,,,,,,
Llano ,299,21210,935 ,-98.68387398,30.70566579,,,,,,
Loving ,301,134,673 ,-103.5799063,31.84912973,,,,,,
Lubbock ,303,305225,900 ,-101.8205745,33.6101944,,,,,,
Lynn ,305,5859,892 ,-101.8160235,33.17685487,,,,,,
McCulloch ,307,7957,"1,069 ",-95.92818441,30.96564645,,,,,,
McLennan ,309,251259,"1,042",-94.35725239,32.79797929,,,,,,
McMullen ,311,778,"1,113 ",-101.9512464,32.30605847,,,,,,
Madison ,313,14222,470 ,-99.2263026,30.71742293,,,,,,
Marion ,315,10064,381,-95.98533866,28.86711039,,,,,,
Martin ,317,5626,915 ,-100.3144638,28.74260943,,,,,,
Mason ,319,4222,932 ,-99.34754972,31.19896752,,,,,,
Matagorda ,321,36840,"1,114 ",-97.20184883,31.55234489,,,,,,
Maverick ,323,58216,"1,280 ",-98.56842256,28.35351091,,,,,,
Medina ,325,50066,"1,328 ",-99.11008331,29.35520493,,,,,,
Menard ,327,2124,902 ,-99.82061472,30.88981785,,,,,,
Midland ,329,165049,900 ,-102.0315032,31.86921148,,,,,,
Milam ,331,25053,"1,017 ",-96.97683495,30.78625299,,,,,,
Mills ,333,4921,748 ,-98.59552736,31.49524259,,,,,,
Mitchell ,335,8468,910 ,-100.9211128,32.30636024,,,,,,
Montague ,337,19539,931 ,-97.72466993,33.67496328,,,,,,
Montgomery ,339,570934,"1,044 ",-95.50301411,30.30022409,,,,,,
Moore ,341,22097,900 ,-101.8929556,35.83768863,,,,,,
Morris ,343,12467,254 ,-94.73205137,33.11368507,,,,,,
Motley ,345,1230,989 ,-100.7798961,34.07409017,,,,,,
Nacogdoches ,347,65580,947 ,-94.6158776,31.61604108,,,,,,
Navarro ,349,48701,"1,071 ",-96.47248134,32.04695429,,,,,,
Newton ,351,13952,933 ,-93.74462993,30.78619977,,,,,,
Nolan ,353,14770,912 ,-100.4060989,32.3034718,,,,,,
Nueces ,355,361221,836 ,-97.61767326,27.72621549,,,,,,
Ochiltree ,357,10073,918 ,-100.815653,36.27846334,,,,,,
Oldham ,359,2114,"1,501 ",-102.6029949,35.40497586,,,,,,
Orange ,361,85047,356 ,-93.89653794,30.12807126,,,,,,
Palo Pinto ,363,28570,953 ,-98.31299522,32.75316856,,,,,,
Panola ,365,23243,801 ,-94.30552858,32.16222886,,,,,,
Parker ,367,133463,904 ,-97.80472194,32.77852261,,,,,,
Parmer ,369,9842,882 ,-102.784594,34.53014507,,,,,,
Pecos ,371,15634,"4,764 ",-102.7235743,30.78100044,,,,,,
Polk ,373,49162,"1,057 ",-94.82994949,30.79250963,,,,,,
Potter ,375,120458,909 ,-101.8940484,35.40128927,,,,,,
Presidio ,377,7156,"3,856 ",-104.2405552,29.99977786,,,,,,
Rains ,379,11762,232 ,-95.79347545,32.87004212,,,,,,
Randall ,381,134442,914 ,-101.8968527,34.96594288,,,,,,
Reagan ,383,3710,"1,175 ",-101.5230108,31.36617698,,,,,,
Real ,385,3429,700,-99.82215881,29.83182711,,,,,,
Red River ,387,12229,"1,050 ",-95.0501886,33.62074539,,,,,,
Reeves ,389,15281,"2,636",-103.693143,31.32307061,,,,,,
Refugio ,391,7224,770 ,-97.16546961,28.32681413,,,,,,
Roberts ,393,938,924 ,-100.8135689,35.8385577,,,,,,
Robertson ,395,17203,855 ,-96.51272568,31.02705415,,,,,,
Rockwall ,397,96788,149,-96.40780584,32.89786769,,,,,,
Runnels ,399,10266,"1,054 ",-99.97624799,31.83105393,,,,,,
Rusk ,401,52833,924,-94.76169577,32.10803224,,,,,,
Sabine ,403,10461,490 ,-93.85170439,31.34321941,,,,,,
San Augustine ,405,8253,528 ,-94.16809762,31.39427005,,,,,,
San Jacinto ,407,28270,571 ,-95.16683273,30.57948905,,,,,,
San Patricio ,409,67215,692,-97.51859857,28.00922186,,,,,,
San Saba ,411,5959,"1,134",-98.81754295,31.15520543,,,,,,
Schleicher ,413,3001,"1,311 ",-100.538097,30.89661056,,,,,,
Scurry ,415,17050,903,-100.9165071,32.74720063,,,,,,
Shackelford ,417,3328,914 ,-99.35403034,32.7360276,,,,,,
Shelby ,419,25513,794 ,-94.14495261,31.79242191,,,,,,
Sherman ,421,3067,923 ,-101.8933822,36.27765824,,,,,,
Smith ,423,227727,928 ,-95.26909511,32.37514553,,,,,,
Somervell ,425,8845,187 ,-97.77456553,32.22229511,,,,,,
Starr ,427,64454,"1,223 ",-98.73834895,26.56212627,,,,,,
Stephens ,429,9337,895 ,-98.83612016,32.73584155,,,,,,
Sterling ,431,1295,923 ,-101.0500699,31.82786516,,,,,,
Stonewall ,433,1388,919 ,-100.255259,33.17842158,,,,,,
Sutton ,435,3767,"1,454",-100.5382263,30.49747152,,,,,,
Swisher ,437,7515,900 ,-101.734951,34.53064989,,,,,,
Tarrant ,439,2054475,864 ,-97.29116473,32.77185236,,,,,,
Taylor ,441,136290,916 ,-99.89003941,32.30138229,,,,,,
Terrell ,443,810,"2,358 ",-102.0764533,30.22502597,,,,,,
Terry ,445,12715,890 ,-102.335157,33.17373729,,,,,,
Throckmorton ,447,1527,912 ,-99.21236832,33.17753907,,,,,,
Titus ,449,32904,411 ,-94.96509786,33.2160906,,,,,,
Tom Green ,451,118019,"1,522 ",-100.4620678,31.4044442,,,,,,
Travis ,453,1226698,989 ,-97.78194654,30.33423319,,,,,,
Trinity ,455,14667,693 ,-95.13551682,31.0885069,,,,,,
Tyler ,457,21539,923 ,-94.37651432,30.7712607,,,,,,
Upshur ,459,41281,588 ,-94.94132011,32.7362827,,,,,,
Upton ,461,3663,"1,242 ",-102.0430005,31.36853957,,,,,,
Uvalde ,463,27132,"1,557",-99.76203107,29.35669829,,,,,,
Val Verde ,465,49205,"3,171 ",-101.15171,29.89300587,,,,,,
Van Zandt ,467,55182,849 ,-95.8364862,32.56368961,,,,,,
Victoria ,469,92084,883,-96.97176602,28.79640594,,,,,,
Walker ,471,72245,788 ,-95.57224172,30.73899492,,,,,,
Waller ,473,51307,514 ,-95.98768942,30.01093722,,,,,,
Ward ,475,11472,836 ,-103.1024636,31.509424,,,,,,
Washington ,477,35043,609,-96.40356575,30.2145299,,,,,,
Webb ,479,274794,"3,357 ",-99.33170164,27.76102524,,,,,,
Wharton ,481,41968,"1,090 ",-96.22197375,29.2778362,,,,,,
Wheeler ,483,5358,914 ,-100.2697634,35.40129002,,,,,,
Wichita ,485,132000,628 ,-98.70153389,33.98421585,,,,,,
